variable,value
2020-12-25,23
2020-12-26,23
2020-12-27,23
2020-12-28,23
2020-12-29,22
2020-12-30,22
2020-12-31,22
2021-01-01,22
2021-01-02,22
2021-01-03,22
2021-01-04,22
2021-01-05,22
2021-01-06,22
2021-01-07,22
2021-01-08,22
2021-01-09,22
2021-01-10,22
2021-01-11,22
2021-01-12,22
2021-01-13,22
2021-01-14,21
2021-01-15,19
2021-01-16,19
2021-01-17,19
2021-01-18,19
2021-01-19,19
2021-01-20,18
2021-01-21,18
2021-01-22,18
2021-01-23,18
2021-01-24,18
2021-01-25,18
2021-01-26,18
2021-01-27,18
2021-01-28,18
2021-01-29,18
2021-01-30,18
2021-01-31,18
2021-02-01,18
2021-02-02,18
2021-02-03,18
2021-02-04,18
2021-02-05,18
2021-02-06,18
2021-02-07,18
2021-02-08,18
2021-02-09,18
2021-02-10,18
2021-02-11,18
2021-02-12,18
2021-02-13,17
2021-02-14,17
2021-02-15,17
2021-02-16,17
2021-02-17,17
2021-02-18,17
2021-02-19,17
2021-02-20,17
2021-02-21,17
2021-02-22,17
2021-02-23,17
2021-02-24,17
2021-02-25,17
2021-02-26,17
2021-02-27,17
2021-02-28,17
2021-03-01,17
2021-03-02,17
2021-03-03,17
2021-03-04,17
2021-03-05,15
2021-03-06,15
2021-03-07,15
2021-03-08,16
2021-03-09,16
2021-03-10,16
2021-03-11,16
2021-03-12,16
2021-03-13,15
2021-03-14,14
2021-03-15,14
2021-03-16,14
2021-03-17,14
2021-03-18,13
2021-03-19,13
2021-03-20,13
2021-03-21,13
2021-03-22,13
2021-03-23,13
2021-03-24,13
2021-03-25,13
2021-03-26,13
2021-03-27,13
2021-03-28,13
2021-03-29,13
2021-03-30,13
2021-03-31,13
2021-04-01,12
2021-04-02,12
2021-04-03,12
2021-04-04,12
2021-04-05,12
2021-04-06,11
2021-04-07,11
2021-04-08,11
2021-04-09,11
2021-04-10,11
2021-04-11,11
2021-04-12,11
2021-04-13,11
2021-04-14,11
2021-04-15,11
2021-04-16,11
2021-04-17,11
2021-04-18,11
2021-04-19,11
2021-04-20,10
2021-04-21,9
2021-04-22,9
2021-04-23,9
2021-04-24,9
2021-04-25,9
2021-04-26,9
2021-04-27,9
2021-04-28,9
2021-04-29,9
2021-04-30,8
2021-05-01,8
2021-05-02,6
2021-05-03,6
2021-05-04,6
2021-05-05,6
2021-05-06,6
2021-05-07,6
2021-05-08,6
2021-05-09,6
2021-05-10,6
2021-05-11,4
2021-05-12,4
2021-05-13,4
2021-05-14,4
2021-05-15,4
2021-05-16,4
2021-05-17,4
2021-05-18,3
2021-05-19,3
2021-05-20,2
2021-05-21,2
2021-05-22,2
2021-05-23,2
2021-05-24,2
2021-05-25,2
2021-05-26,2
2021-05-27,2
2021-05-28,2
2021-05-29,1
2021-05-30,1
2021-05-31,1
2021-06-01,1
2021-06-02,1
2021-06-03,1
2021-06-04,1
2021-06-05,1
2021-06-06,1
2021-06-07,1
2021-06-08,1
2021-06-09,1
2021-06-10,1
2021-06-11,1
2021-06-12,1
2021-06-13,1
2021-06-14,1
2021-06-15,1
2021-06-16,1
2021-06-17,1
2021-06-18,1
2021-06-19,1
2021-06-20,1
2021-06-21,1
2021-06-22,1
2021-06-23,1
2021-06-24,1
2021-06-25,1
2021-06-26,1
2021-06-27,1
2021-06-28,1
2021-06-29,1
2021-06-30,1
